Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Kenny Elissonde,1.69,52,Longjumeau,Trek - Segafredo,156,357,31,FR
Mattias Skjelmose,1.79,65,Copenhagen,Trek - Segafredo,1033,31,22,DK
Antwan Tolhoek,1.78,61,Yerseke,Trek - Segafredo,47.14,765,28,NL
Emīls Liepiņš,1.75,67,Dobele,Trek - Segafredo,155.14,359,30,LV
Markus Hoelgaard,1.87,74,Stavanger,Trek - Segafredo,28,1016,28,NO
Amanuel Ghebreigzabhier,1.87,68,Addis Abeba,Trek - Segafredo,12.14,1410,28,ER
Natnael Tesfatsion,1.75,60,Asmara,Trek - Segafredo,442,130,23,ER
Alex Kirsch,1.94,78,Luxembourg,Trek - Segafredo,72,605,30,LU
Jacopo Mosca,1.73,65,Savigliano,Trek - Segafredo,42,822,29,IT
Julien Bernard,1.76,60,Nevers,Trek - Segafredo,73,600,30,FR
Quinn Simmons,1.82,72,Durango,Trek - Segafredo,241,261,21,US
Pedro López Juan,1.7,60,Lebrija,Trek - Segafredo,290,223,25,ES
Antonio Tiberi,1.82,62,Frosinone,Trek - Segafredo,347.14,182,21,IT
Filippo Baroncini,1.88,74,Massa Lombarda,Trek - Segafredo,96,507,22,IT
Otto Vergaerde,1.8,74,Melle,Trek - Segafredo,71,610,28,BE
Mathias Vacek,1.88,74,Beroun,Trek - Segafredo,177,324,20,CZ
Daan Hoole,1.98,82,Zuidland,Trek - Segafredo,75.5,593,24,NL
Thibau Nys,1.76,64,Bonheiden,Trek - Segafredo,84.33000001,559,20,BE
Asbjørn Hellemose,1.92,65,Galten,Trek - Segafredo,24.14,1094,24,DK
Marc Brustenga,1.9,78,Santa Eulàlia de Ronçana,Trek - Segafredo,16.14,1269,23,ES
Diego Ulissi,1.75,63,Cecina,UAE Team Emirates,891,46,33,IT
Tadej Pogačar,1.76,66,Klanec,UAE Team Emirates,3140,1,24,SI
Rafał Majka,1.73,62,Zegartowice,UAE Team Emirates,281,230,33,PL
Adam Yates,1.73,58,Bury,UAE Team Emirates,1110.43,23,30,GB
Tim Wellens,1.82,71,Sint-Truiden,UAE Team Emirates,436,134,31,BE
Matteo Trentin,1.79,74,Borgo Valsugana,UAE Team Emirates,590,81,33,IT
Pascal Ackermann,1.8,78,Kandel,UAE Team Emirates,451,126,29,DE
George Bennett,1.8,58,Nelson,UAE Team Emirates,391,152,32,NZ
Davide Formolo,1.81,62,Negrar,UAE Team Emirates,386,155,30,IT
João Almeida,1.78,63,Caldas da Rainha,UAE Team Emirates,922,40,24,PT
